source_id,OGLE-ID,RA,Dec,Type,subType,SNR,I,V_I,Period,[Fe/H]_J95,[Fe/H]_ZW,ra_x,ra_error,dec_x,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,angDist,r_est,r_lo,r_hi,abs_Imag,abs_Gmag,V
4658180212009246208,OGLE-LMC-CEP-1600,79.908875,-69.36686,CEP,F,13.512346,15.402,0.74300003,3.1056273,,,79.90891619533,0.132,-69.36684717303,0.2021,-0.3848,0.1641,0.828,0.268,0.25,0.439,7177.51,57.4727,16.048431,4402.98,128.711,16.242022,5781.8,109.352,15.356762,0.88526,,,0,5497.0,,,,,0.057829,3995.02091081226,3084.81041104439,5205.34691812896,2.3944051430052937,3.0408357157592008,-14.659000397246094
4658022359003789056,OGLE-LMC-CEP-2127,82.31079,-69.51825,CEP,F,17.543222,14.296,0.842,7.413067,,,82.3108385772,0.0224,-69.51825930593,0.0274,0.006,0.0264,1.575,0.043,0.467,0.061,19399.5,151.26,14.968891,9878.82,283.863,15.364625,14205.5,252.436,14.380775,0.98385,,,0,5288.32,,,,,0.054882,8519.93813435082,7393.07377719599,9893.62028351977,-0.35618267924586533,0.3167087937765949,-13.453999526977539
4656963048303010560,OGLE-LMC-CEP-3214,87.13529,-70.71528,CEP,F,9.25001,16.737,0.6680012,1.134792,,,87.13531509446,0.0592,-70.71526242202,0.0738,-0.0309,0.0645,1.858,0.122,0.703,0.159,2317.77,22.5588,17.275688,1393.44,52.3663,17.491167,1622.46,29.9272,16.736485,0.754683,,,0,,,,,,0.052387,5552.82309673427,4547.94508079888,6853.17268360772,3.0144303225802354,3.553118810861484,-16.06899831171875
4687420692910753792,OGLE-SMC-CEP-3358,15.557333,-72.89239,CEP,1O,6.576643,15.924,0.45000076,1.6944641,,,15.5573695636,0.0447,-72.892406259,0.0373,-0.0174,0.0471,0.642,0.093,-1.104,0.078,5728.43,20.2526,16.293278,3802.28,50.3963,16.40128,3302.51,34.1571,15.964809,0.43647,,,0,7532.33,,,,,0.050427,6658.51218051015,5553.32379797797,8062.73978284567,1.8071137936630066,2.1763920072860543,-15.473999026376953
4685988819586774272,OGLE-SMC-CEP-2960,14.805875,-72.64716,CEP,1O/2O,9.4046135,16.855,0.52400017,0.8708088,,,14.8059137888,0.0751,-72.64717569317,0.0569,0.1414,0.0771,1.045,0.132,-1.332,0.109,2228.9,23.2337,17.318142,1511.54,60.6531,17.402836,1518.02,42.6683,16.808727,0.594109,,,0,,,,,,0.043968,3731.27869142599,3028.63245550106,4702.74902475858,3.9957111024083645,4.458853560172038,-16.330999372236327
4685826602931556736,OGLE-SMC-CEP-0521,10.809,-73.60172,CEP,F,10.614048,14.376,0.87699986,10.717951,,,10.80896400414,0.0451,-73.60170332894,0.037,0.0389,0.0459,-0.216,0.092,-0.921,0.074,17307.5,62.0132,15.092783,9352.24,145.347,15.424099,12906.5,110.263,14.484895,0.939204,,,0,5359.0,,,,,0.081385,5975.92384798212,4995.34766091951,7243.55709477403,0.4939751315158709,1.2107577271579615,-13.49900054435791
4658155365548076416,OGLE-LMC-CEP-1347,78.77671,-69.664665,CEP,1O/2O,8.767299,16.393,0.6890011,0.6900006,,,78.77676508383,0.0592,-69.66466115278,0.0858,0.0133,0.0646,2.35,0.121,0.349,0.159,3000.72,20.9481,16.995302,1807.56,43.1638,17.208654,2178.59,40.0425,16.41648,0.792175,,,0,5952.0,,,,,0.033565,4988.94955832071,4110.25444222675,6131.07610175254,2.902954084306561,3.5052564352587083,-15.703998549047851
4685943494787415552,OGLE-SMC-CEP-1165,12.117084,-73.22761,CEP,F,19.915163,14.82,1.0900002,10.309012,,,12.11713111436,0.0537,-73.22762414553,0.0397,0.1142,0.0504,0.236,0.104,-1.516,0.076,10533.1,70.6901,15.631977,5226.2,123.331,16.055923,9083.62,170.276,14.866273,1.189651,,,0,4920.0,,,,,0.052946,4690.56651223414,3924.72346603068,5708.2749450467,1.4638732016336036,2.275850506809384,-13.729999494824218
4685496478819950720,OGLE-SMC-CEP-1393,12.448459,-74.45361,CEP,F,13.601663,17.015,0.59000015,1.1501974,,,12.4484647531,0.0944,-74.45359038303,0.0875,0.1423,0.1023,1.473,0.18,-1.503,0.172,1804.46,19.8378,17.547495,1262.75,83.5493,17.598091,1239.04,47.5835,17.029207,0.568884,,,0,,,,,,0.095492,3368.78026669951,2646.54210193564,4404.78976623575,4.3776359673817,4.910131577733264,-16.424999239648436
4685873847540580608,OGLE-SMC-CEP-1223,12.2125,-73.57061,CEP,F,8.560334,17.054,0.6689987,1.417455,,,12.21256958068,0.2427,-73.57061023451,0.1734,0.7973,0.2361,1.664,0.451,-2.325,0.321,1671.2,18.2722,17.630793,1167.67,47.3109,17.683086,1325.93,23.3057,16.955616,0.72747,,,0,,,,,,0.057177,1208.55907297252,916.570534482645,1718.41089401391,6.642661439114802,7.219453584622615,-16.385002154492188
4661343571310849920,OGLE-LMC-CEP-0827,75.96917,-68.315865,CEP,F,9.737164,16.633,0.625,1.1530145,,,75.96911989216,0.05,-68.31585831866,0.0728,0.015,0.0587,1.963,0.092,0.108,0.133,2676.63,24.6368,17.119394,1600.23,52.3074,17.340929,1760.0,34.4635,16.648136,0.692793,,,0,,,,,,0.099623,5162.49239188416,4293.32283104061,6279.80350446112,3.068702297003693,3.555096876837677,-16.007999420166016
