source_id,OGLE-ID,RA,Dec,Type,subType,SNR,I,V_I,Period,[Fe/H]_J95,[Fe/H]_ZW,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,ra_x,ra_error,dec_x,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,angDist,r_est,r_lo,r_hi,abs_Imag,abs_Gmag
4063048480966613760,OGLE-BLG-ECL-311668,271.70325,-27.220306,ECL,NC,41.739532,15.095,1.1129999,14.155708,,,271.7032485412298,-27.2203273099952,0.003,0.002,90.0,271.70325865156,0.112,-27.22034552283,0.101,0.0205,0.1403,2.088,0.217,-4.23,0.153,false,7958.1,21.9377,15.936342,4297.7,53.1027,16.2683,9527.33,493.006,14.814492,1.453807,,,0,4987.0,,,,,0.076858,6181.95541656835,3941.59319867107,9929.43177044518,1.139370923703094,1.139370923703094
5338222072092380032,OGLE-GD-ECL-04952,163.92221,-60.440056,ECL,EC,43.615025,14.154,1.085,1.31294,,,163.9221876407951,-60.4400540415372,0.001,0.001,0.0,163.92213191204,0.0231,-60.44004425266,0.0255,0.1718,0.0282,-6.385,0.046,2.274,0.051,false,17806.8,112.417,15.061901,8304.34,164.6,15.553126,14431.2,284.768,14.363668,1.189459,,,0,4880.0,,,,,0.040331,4880.18954630093,4276.22111344272,5667.58005725732,0.7118168307638939,0.7118168307638939
4068984430634866816,OGLE-BLG-ECL-121214,267.35297,-22.233305,ECL,NC,8.694367,15.558,1.9840002,6.3498087,,,267.3529419718031,-22.2332931709563,0.003,0.002,90.0,267.35292649142,0.0812,-22.23330554464,0.0742,0.1723,0.0892,-3.328,0.168,-2.874,0.147,false,3513.26,12.843,16.824091,1053.94,22.6201,17.794353,4271.08,78.6007,15.685576,2.108778,,,0,3828.0,,,,,0.10265,4583.63457542816,3256.42189306471,6989.09681403916,2.251949677143795,2.251949677143795
4068829884920965888,OGLE-BLG-ECL-097900,266.55255,-23.145805,ECL,NC,13.532203,16.028,1.6499996,1.1645266,,,266.5525287840214,-23.1458284490114,0.003,0.003,90.0,266.55251868437,0.0882,-23.14583316967,0.079,0.2135,0.0961,-2.157,0.19,-1.096,0.169,false,2401.56,19.6911,17.237131,1006.69,52.7238,17.844149,3108.16,106.838,16.030663,1.813486,,,0,,,,,,0.109811,4071.88942672006,2867.41742194636,6385.81882694671,2.979019997417481,2.979019997417481
5337316967856678784,OGLE-GD-ECL-06977,166.46338,-60.807583,ECL,EC,21.43525,13.652,0.64299965,0.89651394,,,166.4633659774713,-60.8075710651052,0.001,0.001,90.0,166.46330717453,0.0213,-60.80756399836,0.0214,0.0571,0.0257,-6.661,0.043,1.641,0.039,false,38097.2,148.457,14.236133,23340.1,308.056,14.43113,24537.0,268.958,13.787365,0.643765,,,0,6507.33,,,,,0.049521,9184.95028122001,7581.97307092172,11408.0826213093,-1.1633836216624225,-1.1633836216624225
4050210067787204096,OGLE-BLG-ECL-282141,271.00467,-29.838278,ECL,C,12.100487,15.543,1.1479998,0.4199156,,,271.0046360141767,-29.8382922820782,0.003,0.002,90.0,271.00463170578,0.1078,-29.83830079613,0.1004,0.1508,0.1257,-0.868,0.188,-1.977,0.154,false,4750.19,28.0962,16.49659,2632.93,80.2655,16.80029,5141.41,110.391,15.484214,1.316075,,,0,5000.0,,,,,0.117928,5127.6851550945,3232.69023751185,8825.61131516588,1.9933934651444964,1.9933934651444964
4068116336179566848,OGLE-BLG-ECL-087248,266.19214,-24.507639,ECL,NC,30.222425,15.697,1.835,0.7565008,,,266.1921368744668,-24.5076664040447,0.003,0.003,90.0,266.19212443835,0.1113,-24.5076767193,0.1009,0.2934,0.138,-2.628,0.219,-2.396,0.183,false,2984.07,43.0266,17.001343,1070.4,52.4772,17.77752,4527.22,341.257,15.622341,2.155178,,,0,4013.91,,,,,0.099184,3348.20541470253,2182.45587531788,5989.33913873084,3.0729390778486305,3.0729390778486305
5858806090183610368,OGLE-GD-ECL-09647,200.67212,-65.052666,ECL,nonEC,28.073727,15.016,0.96500015,1.87723,,,200.6720997551448,-65.0526787736878,0.001,0.001,0.0,200.67203894713,0.0302,-65.05268731988,0.0327,0.1662,0.0395,-5.957,0.055,-1.985,0.062,false,9438.27,19.5084,15.751135,6005.57,125.722,15.905003,8761.53,199.222,14.905471,0.999532,,,0,5286.9,,,,,0.055314,4960.31919037666,4122.86511673383,6169.02062701896,1.5384516755079147,1.5384516755079147
4062574316505670400,OGLE-BLG-ELL-014717,269.78696,-28.669445,ELL,ELL,11.035594,15.064,1.9649992,31.537941,,,269.7869200136005,-28.669448840971,0.007,0.005,90.0,269.78692480467,0.1755,-28.6694709335,0.1544,0.3169,0.1698,0.976,0.421,-5.131,0.328,false,5657.7,28.2839,16.306767,2266.46,157.232,16.963017,8844.32,411.174,14.895259,2.067758,,,0,4377.77,,,,,0.127058,3386.18251863946,2041.34576751473,6725.72163258593,2.4154483131363023,2.4154483131363023
4041704073967717888,OGLE-BLG-RRLYR-02134,266.37885,-34.792473,RRLYR,RRab,9.237126,16.009,1.5889988,0.6824616,,,266.3788403113682,-34.7924678520785,0.003,0.002,90.0,266.37880684319,0.1193,-34.7924922399,0.0928,0.1702,0.1592,-6.384,0.192,-5.664,0.16,false,2818.36,12.4736,17.063374,1307.21,30.9747,17.560528,3624.7,61.3159,15.863739,1.696789,,,0,4572.53,,,,,0.034116,4598.20245782486,2795.91766253714,8130.2505347638,2.696060331982963,2.696060331982963
4062908872975497600,OGLE-BLG-ECL-287995,271.13867,-27.832666,ECL,NC,13.061455,15.749,1.4410009,0.5480566,,,271.1386431618087,-27.8326690359204,0.003,0.003,90.0,271.13863384484,0.1383,-27.83269057961,0.1548,0.2098,0.1756,-1.914,0.219,-5.004,0.194,false,3377.16,32.0397,16.866987,1461.54,95.6193,17.439362,3890.63,178.533,15.786869,1.652493,,,0,4460.0,,,,,0.086136,4282.84551768734,2537.24818839877,7862.51492675827,2.590337547294439,2.590337547294439
4063161691922608896,OGLE-BLG-ECL-254111,270.35696,-27.596056,ECL,NC,16.94485,13.722,4.2959995,206.96735,,,270.3570037643941,-27.5960399456314,0.01,0.008,90.0,270.35696742364,0.3533,-27.5960957943,0.3153,0.6859,0.4152,-7.48,0.63,-12.971,0.512,false,16422.9,150.568,15.149738,1770.52,51.7128,17.231138,31130.9,474.109,13.528941,3.702197,,,0,3698.06,2.9,1.4675,,,0.151117,2739.58331649904,1204.55690365912,6694.23222397368,1.5335775581627082,1.5335775581627082
4062888261499980416,OGLE-BLG-ELL-018251,270.9852,-28.033306,ELL,ELL,5.2923265,15.871,1.3209991,1.1441218,,,270.9851962692604,-28.0333079437185,0.004,0.003,90.0,270.98516713402,0.162,-28.03333402665,0.131,-0.085,0.1693,-5.973,0.229,-6.058,0.197,false,3374.47,17.6174,16.867853,1758.93,58.3876,17.23827,4366.64,122.723,15.661551,1.576718,,,0,4848.5,,,,,0.013766,6746.99579855768,4194.16504250671,10878.7923017374,1.725448091344301,1.725448091344301
