source_id,best_class_name,best_class_score,OGLE-ID,RA,Dec,Type,subType,SNR,I,V_I,Period,[Fe/H]_J95,[Fe/H]_ZW,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,ra_x,ra_error,dec_x,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,angDist,r_est,r_lo,r_hi,abs_Imag,abs_Gmag
4044095889758825728,RRAB,0.8647454031117399,OGLE-BLG-RRLYR-10384,270.06903,-31.171972,RRLYR,RRab,23.807196,15.9,1.6130009,0.65135485,,,270.069058114195,-31.1719507112338,0.004,0.004,90.0,270.06900511386,0.1324,-31.17199467439,0.1218,0.4566,0.1538,-10.532,0.276,-10.211,0.246,false,2852.77,42.5151,17.050198,1274.1,102.792,17.588375,3883.03,169.631,15.788992,1.799383,,,0,4460.0,,,,,0.115641,2331.02844971106,1554.61064506179,4366.79648924616,4.062261748402452,4.062261748402452
4044106369483676416,RRAB,0.616997988861386,OGLE-BLG-RRLYR-10249,270.00546,-31.03536,RRLYR,RRab,15.2671585,16.327,1.9640007,0.5870783,,,270.0054573768828,-31.0353752375063,0.006,0.005,90.0,270.00542507509,0.2304,-31.03538527103,0.2253,1.5256,0.3037,-6.428,0.409,-2.33,0.346,false,1692.52,13.3658,17.617033,647.83,21.6263,18.322735,2759.92,114.573,16.15968,2.163055,,,0,,,,,,0.055449,691.842751513966,546.709011801254,942.41274223404,7.126962688484003,7.126962688484003
4043616983761347840,RRAB,0.8007812500000002,OGLE-BLG-RRLYR-05390,268.08682,-32.212307,RRLYR,RRab,20.622229,16.571,1.8800011,0.377807,,,268.0868146034619,-32.2123167569403,0.005,0.004,90.0,268.08681419141,0.1715,-32.21234458841,0.1477,0.2218,0.1826,-0.081,0.3,-6.464,0.245,false,1507.22,29.9558,17.742922,718.542,85.0439,18.210258,2423.7,62.6131,16.30072,1.909538,,,0,,,,,,0.038781,4362.10457163642,2509.37300983449,8265.02873064988,3.3725187825081875,3.3725187825081875
4043617632290973440,RRAB,0.943080357142857,OGLE-BLG-RRLYR-05381,268.08417,-32.18078,RRLYR,RRab,11.281526,17.158,1.8469982,0.44085342,,,268.0841589643392,-32.1807674958357,0.006,0.005,90.0,268.08412531872,0.2112,-32.18080176355,0.181,0.1346,0.2383,-6.614,0.383,-7.959,0.311,false,802.965,12.2932,18.426624,374.606,32.9713,18.917452,1440.31,62.7516,16.86578,2.051672,,,0,,,,,,0.056187,5011.21674382253,2747.94285198044,9171.28457040963,3.6582850103504754,3.6582850103504754
4043624401260190720,RRAB,0.2692126355492694,OGLE-BLG-RRLYR-05487,268.1176,-31.965834,RRLYR,RRab,12.400048,17.066,2.1280003,0.5426072,,,268.1176296767588,-31.9658513420803,0.006,0.005,90.0,268.11760215728,0.2065,-31.96588454741,0.1931,0.6366,0.2633,-5.422,0.384,-7.712,0.312,false,890.315,12.254,18.314507,383.904,25.7933,18.890831,1628.86,46.8773,16.732208,2.158623,,,0,,,,,,0.110057,1975.60377377056,1124.26941225387,5377.666887465,5.587500749373621,5.587500749373621
4043627562186192768,RRAB,0.84375,OGLE-BLG-RRLYR-05742,268.2161,-31.953333,RRLYR,RRab,30.290823,16.038,1.8339996,0.44818866,,,268.2160855076656,-31.9533399292923,0.003,0.003,90.0,268.21606362373,0.0985,-31.95338020275,0.09,0.3484,0.1134,-4.313,0.189,-9.354,0.161,false,2373.18,36.0965,17.250038,900.267,64.2885,17.96546,3266.24,122.538,15.976799,1.988661,,,0,,,,,,0.050812,2871.23181918531,2021.14866661799,4734.92052319227,3.7476588156480837,3.7476588156480837
4043629662456330368,RRAB,0.7813531353135313,OGLE-BLG-RRLYR-06035,268.31372,-31.88025,RRLYR,RRab,18.46392,16.421,1.9840012,0.5962417,,,268.3137049567229,-31.8802629656883,0.006,0.005,90.0,268.31368949573,0.19,-31.88027615089,0.1693,-0.1205,0.2051,-3.049,0.384,-3.062,0.323,false,1620.89,31.8274,17.663984,1035.81,96.4541,17.813189,3004.21,137.098,16.067595,1.745594,,,0,,,,,,0.065525,6747.13227638085,4049.84866522473,11122.1488938051,2.275403404436453,2.275403404436453
4043630036087714944,RRAB,0.7065787438118815,OGLE-BLG-RRLYR-05574,268.15308,-31.970528,RRLYR,RRab,11.351547,17.116,2.1540012,0.5195024,,,268.1530680815569,-31.9705578242234,0.007,0.005,90.0,268.15303582478,0.2389,-31.97057175033,0.2109,-0.2002,0.2641,-6.356,0.422,-3.234,0.341,false,829.818,11.372,18.39091,272.389,26.0575,19.263412,1383.02,63.787,16.90985,2.353563,,,0,,,,,,0.113369,6446.33834519304,3735.61034232573,10844.060291324,3.069433740125863,3.069433740125863
4043630517272331648,RRAB,0.8721122112211221,OGLE-BLG-RRLYR-05744,268.21674,-31.935333,RRLYR,RRab,11.698697,16.85,2.059,0.56986976,,,268.2167429075548,-31.9353442094391,0.005,0.004,90.0,268.21672830346,0.1687,-31.93534757485,0.1525,0.3126,0.1908,-2.879,0.297,-0.782,0.246,false,1085.98,15.6545,18.098816,361.137,36.5941,18.957209,1728.43,63.7212,16.66779,2.289419,,,0,,,,,,0.04132,3592.05726158583,2057.57443986185,7347.11320667288,4.073284125412471,4.073284125412471
4043636465741797888,RRAB,0.7672358446782179,OGLE-BLG-RRLYR-06759,268.57263,-31.9355,RRLYR,RRab,18.023626,16.509,1.7159996,0.5408862,,,268.5726023736468,-31.9354880290141,0.006,0.005,90.0,268.57260426338,0.1881,-31.93552101428,0.1623,0.9308,0.188,0.372,0.406,-7.661,0.316,false,1397.52,22.2275,17.82497,663.963,50.5945,18.296028,2127.67,53.3892,16.442158,1.85387,,,0,,,,,,0.094768,1111.61282817353,883.2151056706,1497.61074213079,6.279233028419904,6.279233028419904
4043641379130105344,RRAB,0.8500117868929749,OGLE-BLG-RRLYR-06827,268.6005,-31.845917,RRLYR,RRab,32.738407,15.635,1.6459999,0.45728275,,,268.6004814773989,-31.845930947536,0.004,0.003,90.0,268.60045781407,0.1228,-31.84594320471,0.109,0.0208,0.1319,-4.669,0.245,-2.847,0.193,false,3893.51,78.7301,16.712511,1554.33,147.237,17.372532,4682.75,256.202,15.585668,1.786864,,,0,4315.05,,,,,0.075695,6751.7565438124,4258.81371855986,10957.0331432678,1.4879163587685795,1.4879163587685795
4043643092824636672,RRAB,0.6354166666666666,OGLE-BLG-RRLYR-06821,268.59818,-31.750334,RRLYR,RRab,18.612108,16.78,1.7869987,0.55312836,,,268.5981398928102,-31.7503179323427,0.005,0.004,90.0,268.5981173271,0.1856,-31.75033941633,0.1691,0.347,0.1931,-4.457,0.349,-4.99,0.288,false,1106.74,20.4908,18.078255,494.63,8.28574,18.615686,1852.07,153.334,16.592775,2.022911,,,0,,,,,,0.135722,3321.53058511513,1905.25026416814,7041.63710097653,4.173309407445949,4.173309407445949
4064934212043745792,RRAB,0.7729181400282886,OGLE-BLG-RRLYR-15296,272.92566,-25.66475,RRLYR,RRab,29.899925,15.555,1.3990002,0.70095384,,,272.9256648159536,-25.664734727917,0.003,0.002,90.0,272.92562642192,0.0875,-25.66476011726,0.0804,0.4726,0.0854,-8.038,0.17,-5.897,0.139,false,4417.72,86.6403,16.57537,1978.85,157.178,17.11036,5073.68,238.362,15.498611,1.611748,,,0,4465.25,,,,,0.057157,2051.63326302038,1717.59350314128,2540.23646802747,3.9945016469557473,3.9945016469557473
4068788820699678080,RRAB,0.7395833333333335,OGLE-BLG-RRLYR-02598,266.75156,-23.110222,RRLYR,RRab,25.780499,16.138,1.4659996,0.4205423,,,266.7515378143996,-23.1102418518739,0.008,0.008,0.0,266.75152131371,0.1385,-23.11027505669,0.1196,0.8238,0.2018,-3.525,0.496,-7.712,0.509,false,2651.97,62.1196,17.129444,1085.8,124.348,17.762016,2858.62,177.424,16.12153,1.640486,,,0,,,,,,0.102488,1277.10902121716,948.091623262202,1944.07464219828,5.606860624939706,5.606860624939706
4044108220567601792,RRAB,0.8075053041018387,OGLE-BLG-RRLYR-10528,270.133,-30.980389,RRLYR,RRab,28.389364,15.276,1.6069994,0.70190036,,,270.1329915547871,-30.9804184877968,0.002,0.002,90.0,270.1329651455,0.0852,-30.98046442332,0.0792,0.2084,0.0918,-5.259,0.158,-10.669,0.128,false,4823.03,75.9997,16.480066,1856.41,175.623,17.1797,6988.7,278.101,15.150929,2.028771,,,0,4262.67,,,,,0.109309,4337.98193053196,2990.43452209169,7105.87101716268,2.0895613295487223,2.0895613295487223
