source_id,ra_x,ra_error,dec_x,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,OGLE-ID,RA,Dec,Type,subType,SNR,I,V_I,Period,[Fe/H]_J95,[Fe/H]_ZW,r_est,r_lo,r_hi,abs_Gmag,abs_Imag,V
4063553874010288000,269.627891201672,0.10995988664893928,-27.443443131426985,0.10312275395879043,-0.3659013622637736,0.12539933410036527,-0.973338887488027,0.2099554933477636,-1.8912680465418776,0.172722070598631,2499.197733032217,3.9530588866295395,17.193865,780.8544440777196,57.49575611438493,18.119963,5001.077090555381,129.93507351832366,15.514261,2.6057014,,,0,,,,,,OGLE-BLG-RRLYR-09289,269.62842,-27.443306,RRLYR,RRab,18.874393,16.49,2.1690006,0.47204784,,,10230.2154291083,7062.23889154095,14778.1001373416,2.144440926217964,1.4405758749484328,-14.320999171118164
4044151960677286016,270.2034685637441,0.07941107463855976,-30.60406593956346,0.08893525026373779,0.10154113262323952,0.10742679617533295,-5.179238999622734,0.2009038074426507,-3.5038153851267686,0.15575518909925062,7896.519495319629,7.946371822627252,15.944777,2157.194833547224,65.49264822575842,17.016665,11575.418085273834,202.46273144997954,14.603078,2.4135866,,,0,3669.75,,,,,OGLE-BLG-RRLYR-10688,270.20355,-30.604528,RRLYR,RRc,10.656764,16.216,1.4820004,0.32028896,,,6005.70047633693,3890.70408134367,9862.60898376085,2.05195819135524,2.3231812595925447,-14.733999203271484
4661367588772355712,77.41712072574646,0.07983826533747869,-68.60383219937054,0.10585013149656884,0.15126290814097676,0.09512385710187081,2.1872391084372573,0.15811740879442243,0.3204466171079182,0.20581807451328823,2113.8455112959678,2.1510447220644857,17.375683,1005.6964158730848,16.229502819666966,17.84522,2158.3461995766556,13.007749159287089,16.426617,1.4186039,,,0,,,,,,OGLE-LMC-RRLYR-06149,77.415794,-68.60394,RRLYR,RRab,5.0148163,18.749,0.40600014,0.4757404,-1.339,-1.55,3233.97244075967,2605.38265478833,4105.55984943325,4.827001257715899,6.200318976221759,-18.343000409316407
4062925782354139264,271.53151958519953,0.25955414539835653,-27.66522616048358,0.24652811400497682,0.30788983474960113,0.2881467212638128,-1.6993118272111238,0.5480392337324641,-7.896215473101902,0.46715956151601457,1119.6954375306393,4.377754052510879,18.065617,977.5272136024874,36.05353530947904,17.876066,2402.534581393762,54.21923646329749,16.310246,1.5658207,,,0,,,,,,OGLE-BLG-ECL-304835,271.5314,-27.665527,ECL,NC,6.680134,17.649,1.427,0.7814222,,,3815.59205872139,1977.64006510837,7586.33889305693,5.157806926505632,4.741190486686296,-16.22200016784668
4055769920135417216,267.7364797669975,0.23950649091539192,-30.88435722171173,0.28271335819435983,0.9776031165146435,0.3520204334873297,-2.1249136107339424,0.4897616492353374,-2.889697825011808,0.4201464872554325,1747.997378654624,6.038544819831369,17.582014,332.2604177946254,13.236133037674733,19.047691,3924.260668657649,39.351857002313764,15.777525,3.2701664,,,0,,,,,,OGLE-BLG-RRLYR-04418,267.73654,-30.883917,RRLYR,RRab,5.5412574,18.084,3.276001,0.5281262,,,1292.85552268605,727.287153670186,4726.03795342063,7.024264109135551,7.526249659062309,-14.807998633789062
4041769353180462336,266.8027409831985,0.06706379577135967,-33.91719539460273,0.05827679913146256,0.469441620812111,0.06686009384893751,-1.2826054924364576,0.13218271133363652,-4.3146407157142805,0.10307569475248522,5542.988327452313,4.497152083878199,16.329006,2247.9797979619934,26.89839331740164,16.971907,5544.963670998272,39.20875750390825,15.402173,1.5697336,,,0,4388.1997,,,,,OGLE-BLG-RRLYR-02659,266.80334,-33.917057,RRLYR,RRc,6.6250005,17.072,1.7369995,0.26919502,,,2046.61439799342,1783.54993472942,2398.0760106732,4.773826069686159,5.516820378157838,-15.33500100354004
4056094100040246400,268.8663567659255,0.04987213442182493,-30.92099516041493,0.04238001432158745,0.2881428339816139,0.04442835531839696,-0.5940434366994084,0.09822687929807261,-2.4493981213287794,0.07621460539795169,14180.652013025558,9.987648252582495,15.309125,6613.669747298033,130.03875362346983,15.800282,13339.530986739768,133.6037348734496,14.449069,1.3512125,,,0,4740.98,,,,,OGLE-BLG-RRLYR-07461,268.8669,-30.920694,RRLYR,RRab,14.583125,15.811,1.500001,0.6441693,,,3195.25903117551,2773.72383046348,3761.74836315333,2.7865945914771153,3.28846951518317,-14.310998870300294
4063196601424487552,270.3355577229837,0.13341431187265584,-26.984388800456973,0.1303937857144294,0.007667092380299662,0.1686163154191075,0.0772773849446153,0.2463374388289174,-3.08808578982217,0.2047404687034363,2494.261462348476,5.01612414871966,17.19601,179.81348639088046,15.285709675166732,19.714333,4586.963796841613,44.74230158040866,15.608107,4.106226,,,0,,,,,,OGLE-BLG-RRLYR-10969,270.33542,-26.98475,RRLYR,RRab,5.907311,17.861,2.8780003,0.4951741,,,5896.89819484208,3642.18174389371,9691.28288833245,3.3428924390944736,4.0078819105300205,-14.982999761035156
4056309947943587584,269.48482634857874,0.06160628566174175,-29.76618506559352,0.058713759006830006,0.09932150583528895,0.058465645597308734,-1.3844757025210455,0.14157027694420737,-2.2158404711679687,0.11060480086950791,35250.134339153825,46.69088164776801,14.320464,7608.051490089223,35.16234308891666,15.648205,62713.722415355696,5309.0410812593,12.768514,2.8796911,,,0,3709.0,,,,,OGLE-BLG-LPV-144723,269.48495,-29.766582,LPV,Mira,139.01077,13.192,6.46,377.0,,,6747.88902380579,4902.88291703182,9911.03253813707,0.1746244765048246,-0.9538392686123629,-6.732000389099121
4050860806850883840,272.88918165943244,0.035011571557483835,-28.314904673904422,0.0350005686104864,0.09414179550168453,0.0454802508545676,1.7964397305426543,0.07249500602231378,-3.612813446130284,0.06080222061994927,31158.817639708304,12.482874547936174,14.454413,9881.4308358109,152.03380255453902,15.364339,35295.02979346414,268.0905152474914,13.392636,1.9717026,,,0,3889.3333,,,,,OGLE-BLG-ECL-354049,272.88934,-28.314417,ECL,NC,8.026289,15.46,,1.1918079,,,7092.7979628536,5396.49813625229,9837.32645079952,0.20032546790098493,1.2059120920464927,
